intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",53.62
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",52.44
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",52.12
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",51.99
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",52.86
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",50.65
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",53.84
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",59.23
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",54.94
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",50.72
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",52.44
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",50.19
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",54.47
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",55.88
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",53.99
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",49.08
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",52.64
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",49.34
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",55.4
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",59.38
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",55.72
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",52.85
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",53.47
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",47.82
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",53.08
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",53.16
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",55.31
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",56.99
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",52.04
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",53.09
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",50.12
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",49.42
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",50.83
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",50.29
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",53.54
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",51.45
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",57.73
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",57.21
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",54.32
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",52.91
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",57.43
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",52.02
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",108.58
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",101.89
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",110.65
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",115.77
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",109.86
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",99.47
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",115.47
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",112.32
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",115.82
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",114.74
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",118.87
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",107.63
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",104.18
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",100.19
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",116.82
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",111.21
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",108.53
