intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",53.74
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",52.55
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",52.22
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",52.23
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",53.11
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",51.0
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",54.36
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",59.63
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",55.27
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",51.25
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",53.01
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",50.83
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",54.73
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",56.06
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",54.16
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",49.21
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",52.79
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",49.58
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",54.96
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",58.83
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",55.25
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",52.83
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",53.44
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",47.87
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",53.52
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",53.97
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",56.19
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",57.38
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",52.36
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",53.33
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",50.98
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",50.15
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",51.61
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",50.27
