time,velocity,informationId,partVelocity,week
0,13.2345995628,6887;6888;6891;6892;14804;21917;27827;27828;37275;37276;41437;49402;55001;65811;65813;76413;87580;87583,4.13105413105;8.93682588598;7.55208333333;8.51688693098;12.2105263158;34.7305389222;10.8208955224;8.92307692308;38.6666666667;8.64381520119;10.0172711572;15.7181571816;14.3920595533;4.85355648536;21.0144927536;6.6974595843;7.33249051833;15.0649350649,0
1,8.6964673258,6895;6896;6897;27829;27830;27831;76416;87588;87589,6.27705627706;5.9123343527;6.598407281;5.2111410602;8.13464235624;11.0056925996;12.6637554585;5.55555555556;16.9096209913,0
2,8.62563462403,6900;6901;6903;6904;6905;21921;49410;55009;65818,7.02179176755;8.78787878788;4.70397404704;8.86850152905;9.69899665552;10.1045296167;4.20899854862;10.8411214953;13.3949191686,0
3,10.1596151259,6906;6907;6908;21922;21923;33151;33153;49411;55011;55013;76429,9.52380952381;8.72180451128;14.2156862745;6.23655913978;7.73333333333;5.26793823797;12.0582120582;14.8337595908;10.394265233;11.0056925996;11.7647058824,0
4,11.3771163684,6910;21926;37280;55014;55018;65823;87594;87595;87596,14.7582697201;18.0124223602;10.8208955224;12.7472527473;11.2840466926;11.8367346939;5.99793174767;6.98795180723;9.94854202401,0
5,8.75621332598,6913;6914;14820;14823;27837;49416;65825,4.66237942122;8.47953216374;3.04621848739;12.1593291405;6.83962264151;17.7370030581;8.36940836941,0
6,8.66623748805,6916;6917;6918;6919;6921;6922;14824;14825;41439;49418;55021,7.26817042607;5.11013215859;9.14826498423;6.96278511405;9.83050847458;8.38150289017;13.0630630631;6.44444444444;9.10518053375;8.52941176471;11.4851485149,0
7,12.703075584,6925;6926;14831;14832;65829;76437;76438,8.69565217391;6.67433831991;7.6821192053;10.5072463768;8.29756795422;11.2621359223;35.8024691358,0
8,11.7758104183,6930;6932;6933;14833;14835;14836;27840;27841;27842;27843;33161;49422;65830;76439,5.82329317269;15.3034300792;39.7260273973;11.0898661568;10.2473498233;6.68202764977;9.00621118012;12.108559499;6.09243697479;10.780669145;1.1361410382;6.97115384615;22.2222222222;7.67195767196,0
9,9.76848542775,14840;27844;76440,9.04836193448;9.35483870968;10.9022556391,0
10,10.17908949,6937;14843;87608;87609,10.861423221;9.32475884244;11.1753371869;9.35483870968,0
11,9.97436853686,14846;65844;65847,8.14606741573;15.8038147139;5.97322348095,0
12,8.98213404768,6938;49430;55037;55039;65851;76443;87615,12.0833333333;9.86394557823;8.59259259259;8.54197349043;5.0259965338;6.78362573099;11.9834710744,0
13,9.63319069663,6941;6945;6946;6947;21942;27847;27850;33169;37284;37285;41444;41445,12.6086956522;5.75396825397;4.57413249211;7.18711276332;8.78787878788;4.44104134763;9.61857379768;10.861423221;9.4616639478;15.1832460733;12.2105263158;14.9100257069,0
14,14.600525732,21949;27851;37287;41446;41447;49444;55043;65855;65857,17.7914110429;11.909650924;6.38766519824;38.1578947368;11.623246493;11.909650924;10.6813996317;13.0630630631;9.88074957411,0
15,12.010541756,6955;6956;14854;41449;65867;76457,16.2464985994;10.922787194;8.21529745042;12.8888888889;9.81387478849;13.9759036145,0
16,10.0897726914,6959;6965;14858;14859;14861;21959;21963;27861;27863;27864;27865;27866;27867;49458;55048;65874;76461,9.71524288107;8.44250363901;11.0687022901;2.18785364014;10.3756708408;7.56192959583;13.6150234742;11.1111111111;7.66182298547;11.8609406953;8.33333333333;3.78343118069;12.8035320088;10.5454545455;15.0649350649;11.3725490196;16.0220994475,0
17,9.7790197914,6967;6969;6971;14869;21967;27868;27874;27875;27877;33183;49465;55054;55058;55059;55061;65878;65880;65884;87642;87643;87644;87648;87651;87652,11.2840466926;10.4129263914;9.5867768595;14.463840399;12.7753303965;12.6914660832;7.19602977667;7.42637644046;10.4129263914;13.0630630631;14.7208121827;4.46841294299;13.9759036145;10.2836879433;6.31808278867;7.66182298547;12.5;10.0;8.40579710145;7.02179176755;7.02179176755;12.5541125541;5.17395182872;5.27752502275,0
18,10.102290006,6974;6979;14872;27881;27882;33189;49471;49472;55063;65889;76476;87654;87660;87661;87662,7.9561042524;10.3756708408;7.22291407223;16.1559888579;8.92307692308;14.6095717884;13.0630630631;9.10518053375;11.6;6.62100456621;8.26210826211;6.72853828306;13.0044843049;5.56621880998;12.3404255319,0
19,13.3625041834,6989;6990;14880;14882;14888;21982;21983;27885;27889;27891;33192;33193;33195;37302;37310;41462;49482;65903;65905;65906;65909;76480;76484;87668;87669;87672,11.1753371869;27.7511961722;14.6095717884;13.0925507901;16.4305949008;11.9834710744;9.26517571885;10.6422018349;8.27389443652;19.0163934426;10.0172711572;13.0630630631;10.8411214953;11.1753371869;12.2621564482;13.3333333333;12.9464285714;12.6637554585;9.73154362416;11.2621359223;11.9341563786;7.14285714286;10.1754385965;37.908496732;11.4624505929;9.26517571885,0
