,intersection_id,tollgate_id,starting_time,time_window,travel_velocity
0,A,2,2016-07-19,1,"[  7.93304221  12.55319149   5.12820513   8.08080808   8.10810811
   5.02772643]"
1,A,2,2016-07-19,4,"[ 11.8514889    9.05674295   8.16824744   7.50015704   8.43014129
   5.66214268]"
2,A,2,2016-07-19,5,"[ 10.20045402   7.39516759  10.16979698  10.2254028    9.88971346
   4.76734673]"
3,A,2,2016-07-19,7,"[ 10.82423039  12.11498973  12.87878788  10.98901099  10.90909091
   6.58914729]"
4,A,2,2016-07-19,8,"[ 14.13944538  12.53347131  10.67571837  10.67627371  10.67948718
   7.92897117]"
5,A,2,2016-07-19,10,"[  9.54888505  12.65507717   8.8371308    8.44160182   8.5815047
   8.54733044]"
6,A,2,2016-07-19,11,"[ 13.2430784   13.73591429  11.51451974  10.03041647  10.50724638
  10.23902636]"
7,A,2,2016-07-19,12,"[ 13.10111331  13.09194585  11.91043698   8.85516565   5.44845687
   5.23308554]"
8,A,2,2016-07-19,13,[ 8.17675332  9.11201081  8.38853711  7.51046305  7.17943317  5.56339775]
9,A,2,2016-07-19,14,"[ 12.213448    11.3029304   11.29960317   8.46155174   7.10526316
   5.90934656]"
10,A,2,2016-07-19,15,"[ 11.00046256  11.14999155   9.4247099    8.65996817   8.28242269
   6.23241329]"
11,A,2,2016-07-19,16,[ 8.73331971  9.7432501   9.57318959  8.71489566  8.28736973  7.0953766 ]
12,A,2,2016-07-19,17,[ 9.46083403  9.76936058  9.40329091  9.49913947  8.99220937  5.59116302]
13,A,2,2016-07-19,18,"[  9.77284301  10.88913962   9.77316052   9.63635915   9.37770879
   9.18756409]"
14,A,2,2016-07-19,19,"[ 10.11018867   9.57459183   8.70432316   9.0043382    8.46166068
   8.09472874]"
15,A,2,2016-07-19,20,"[  9.91705996  10.78077924  10.39553822   9.10478746   8.43778695
   5.13927316]"
16,A,2,2016-07-19,21,"[ 11.24811623  11.46505037  10.12554901   8.31220748   7.45142374
   7.04263757]"
17,A,2,2016-07-19,22,[ 8.32511275  8.64059635  7.49961216  7.83728588  6.84952134  4.0800702 ]
18,A,2,2016-07-19,23,[ 9.45341024  8.35587348  8.08948566  7.84465481  8.5056067   6.47496331]
19,A,2,2016-07-19,24,[ 9.43542125  9.64598808  8.20735406  8.29682557  7.65238461  4.27249066]
20,A,2,2016-07-19,25,[ 9.51460435  9.20063929  8.02977523  5.88725989  5.36109496  3.79481854]
21,A,2,2016-07-19,26,[ 9.06401591  9.18104294  9.37966752  7.44338769  6.43649992  6.3975725 ]
22,A,2,2016-07-19,27,[ 8.90265322  8.36343596  7.27352174  7.04317367  7.79317918  5.83397137]
23,A,2,2016-07-19,28,[ 8.66493261  9.32300296  8.81438002  9.22829726  8.71312022  5.99432166]
24,A,2,2016-07-19,29,"[ 11.71669919  10.80297256   8.83872268   8.52357189   8.00847984
   5.44948847]"
25,A,2,2016-07-19,30,[ 9.40396952  9.84599249  7.14661374  7.45818971  7.06623743  4.65457926]
26,A,2,2016-07-19,31,"[ 10.33975486  10.72906738   8.52771724   9.71170212   9.08018542
   6.53820892]"
27,A,2,2016-07-19,32,"[ 10.05029488   9.398686     7.92152557   7.372454     8.22505789
   6.06807919]"
28,A,2,2016-07-19,33,[ 9.28588959  9.8607914   8.72108703  7.04612712  7.33614022  5.95493022]
29,A,2,2016-07-19,34,"[  9.0597972    9.08798243   7.78961125   8.64150049  10.05245043
   8.75878099]"
30,A,2,2016-07-19,35,"[ 14.76980617  14.89359692  11.95188321  14.88465164  14.48652422
   8.71063628]"
31,A,2,2016-07-19,36,"[ 10.85925581   9.99929479   9.34456254   9.27026278   8.42169419
   6.67416339]"
32,A,2,2016-07-19,37,"[  9.85843981  11.60873271  10.70943985   9.04954323   7.87135128
   7.5344171 ]"
33,A,2,2016-07-19,38,"[ 11.8592942   10.75298682   9.31841459   8.97263244   8.42364009
   7.28750255]"
34,A,2,2016-07-19,39,"[ 11.63853007  11.26579796  10.91865336   9.74807418   8.74178037
   7.30662835]"
35,A,2,2016-07-19,40,"[  9.89296789  10.33338539   8.28742709   7.35825071   6.94575352
   6.29377132]"
36,A,2,2016-07-19,41,"[ 11.51782392   9.96900187  10.04421426   8.71994432   8.86506488
   5.95990525]"
37,A,2,2016-07-19,42,[ 8.88919729  8.05541147  7.63448382  7.28840324  6.96570383  5.74507193]
38,A,2,2016-07-19,43,[ 8.64710705  9.45485855  6.77205742  6.69500307  7.21184998  4.78215364]
39,A,2,2016-07-19,44,"[ 10.27232153  11.1700803    9.283556     8.06017447   7.65215322
   5.76817173]"
40,A,2,2016-07-19,45,"[ 10.8671245   11.31173276   7.83152309   9.96168041  10.07018992
   6.0724583 ]"
41,A,2,2016-07-19,46,[ 9.60171576  9.92539866  6.81922559  7.58712856  7.73073572  6.29056199]
42,A,2,2016-07-19,47,"[ 10.82321294  10.32443237   7.69332064  10.01279856   9.65791069
   7.24973259]"
43,A,2,2016-07-19,48,"[ 10.74852449  11.42349112   9.61790178   8.20760793   7.59798863
   4.62324921]"
44,A,2,2016-07-19,49,"[ 11.79898065  12.51437624   9.71469458   9.1371491    9.27393976
   8.32875796]"
45,A,2,2016-07-19,50,[ 9.04512901  9.94495692  8.60703461  8.03780834  7.79562334  5.35609331]
46,A,2,2016-07-19,51,[ 7.86319684  7.20312482  4.78367309  5.49910153  4.93613541  3.74868418]
47,A,2,2016-07-19,52,[ 9.85240876  9.27149913  7.26358468  6.66926305  5.87947842  3.68379539]
48,A,2,2016-07-19,53,"[  9.84171758  11.27813204   9.56317364   8.06128335   7.97127459
   5.28066664]"
49,A,2,2016-07-19,54,[ 9.72814422  9.37199824  7.46486686  7.32106774  6.53052195  4.02836961]
50,A,2,2016-07-19,55,"[  9.74757306  13.47223287  12.24843796   9.54455085   9.13184213
   8.76557743]"
51,A,2,2016-07-19,56,[ 8.24143585  8.43413704  7.19212385  7.36915855  6.63915986  6.24364529]
52,A,2,2016-07-19,57,"[ 10.76027416  12.05869179   8.61500537   7.63660658   6.18286904
   6.10603021]"
53,A,2,2016-07-19,58,"[ 10.93288208   9.5394786    8.70172387   6.26744319   5.40522415
   2.92651282]"
54,A,2,2016-07-19,59,[ 8.51291395  7.55287808  6.95411541  6.68731464  5.90722765  5.52490257]
55,A,2,2016-07-19,60,[ 7.43213527  7.99638785  6.77764279  7.08638361  6.26616788  3.86522247]
56,A,2,2016-07-19,61,"[ 10.68962547  11.33950242  10.88415419   9.68655861   9.71010325
   8.63766398]"
57,A,2,2016-07-19,62,"[ 10.54773499   9.27015394   9.5863993    9.33936365   8.72901937
   7.2767785 ]"
58,A,2,2016-07-19,63,"[  7.84394522  11.60044051  11.14629724  12.52362806   7.56037777
   5.09798855]"
59,A,2,2016-07-19,64,"[ 10.84144735  12.01416617  11.47872491  11.19415193  11.26699756
   9.85909924]"
60,A,2,2016-07-19,65,"[  9.84252385  10.3107671    9.65958295   8.17320125   6.92698645
   6.1262959 ]"
61,A,2,2016-07-19,66,"[ 12.82982519  12.02772965   8.85042995  10.19851608  10.64492532
   9.68866491]"
62,A,2,2016-07-19,67,[ 6.27771088  6.75018793  6.25995602  5.83770563  5.76336675  3.03554163]
63,A,2,2016-07-19,68,"[ 15.44518843  14.59947254  13.35635937  12.59084562  12.59968102
   9.83907436]"
64,A,2,2016-07-19,69,"[  9.66394602  10.31661474   9.56245811   7.2276849    7.49837501
   5.14302117]"
65,A,2,2016-07-19,70,[ 8.77499147  7.50977224  6.4530232   8.47053055  8.37901717  6.14159401]
66,A,2,2016-07-19,71,"[  9.39398302  10.07585116   6.48247727   8.02194841   7.7353206
   6.18680192]"
67,A,2,2016-07-20,1,"[ 10.48076923  11.04868914  11.03896104  11.04972376  11.11111111
   9.13364674]"
68,A,2,2016-07-20,2,"[  7.75800712  23.22834646  15.04424779   8.21355236   6.81818182
   2.31844528]"
69,A,2,2016-07-20,3,[ 7.74147727  7.74278215  7.74487472  7.73694391  7.69230769  5.30421217]
70,A,2,2016-07-20,4,[ 9.1381869   9.60821504  7.6970801   5.18671538  6.56084656  5.84842469]
71,A,2,2016-07-20,5,"[ 12.4112524   12.26337327  10.61274786  10.20883664  10.14795326
   7.84744258]"
72,A,2,2016-07-20,6,"[ 18.22742475  12.77056277  11.60409556  11.5942029   11.53846154
   4.23412204]"
73,A,2,2016-07-20,7,"[ 20.37383178  20.34482759  20.35928144  20.40816327  20.68965517
  20.35928144]"
74,A,2,2016-07-20,8,"[ 12.99165673  12.99559471  12.97709924  13.65187713  13.33333333
   9.13364674]"
75,A,2,2016-07-20,9,[ 11.82212581  12.60683761  12.59259259  12.61829653  12.5          3.3439882 ]
76,A,2,2016-07-20,10,"[ 20.96153846  20.92198582  20.98765432  20.94240838  20.68965517
  20.63732929]"
77,A,2,2016-07-20,11,[ 3.80852551  3.80890897  3.80739082  3.80952381  3.79746835  3.80845701]
78,A,2,2016-07-20,12,"[ 10.71423598  12.25069868  11.88807483   9.46015243   8.43410191
   6.51618805]"
79,A,2,2016-07-20,13,[ 8.76205788  8.20584145  5.83190395  5.83090379  5.82524272  4.48548813]
80,A,2,2016-07-20,14,"[  3.17044793  18.20987654  18.27956989  18.26484018  18.18181818
  18.37837838]"
