,intersection_id,tollgate_id,starting_time,travel_time,time_window,week,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,travel_lane,travel_velocity,travel_length,total_length,total_velocity
0,A,2,2016-10-18,27.54,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,"[ 14.24836601  14.25120773  14.22594142  14.23487544  14.28571429
  14.2557652 ]",109;59;34;40;6;136,384,13.9433551198
1,C,3,2016-10-18,139.53,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;3;4;4;1,"[ 11.44385027   9.67503693  31.03448276  11.73878205   8.75494941
   7.48762376   1.24796527   7.15583   ]",107;131;135;293;199;121;23;197,1206,8.64330251559
2,A,2,2016-10-18,26.009999999999998,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,[ 15.09695291  15.08951407  15.11111111  15.09433962  15.          15.09433962],109;59;34;40;6;136,384,14.7635524798
3,A,3,2016-10-18,78.4,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1;3;1,"[ 14.7496617   14.75        14.71861472  14.7601476   14.75409836
  13.83647799  10.29485257   7.18978102]",109;59;34;40;9;198;206;197,852,10.8673469388
4,A,2,2016-10-18,71,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,"[  7.6064201   10.10273973  10.08902077  10.1010101   10.16949153
   3.1627907 ]",109;59;34;40;6;136,384,5.40845070423
5,A,2,2016-10-18,20.27,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,[ 19.96336996  18.67088608  18.68131868  18.69158879  18.75        18.70701513],109;59;34;40;6;136,384,18.94425259
6,A,3,2016-10-18,104.14,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1;3;1,"[ 13.54037267  12.44725738  11.52542373  11.52737752  11.53846154
  11.72291297   9.52821462   4.26961422]",109;59;34;40;9;198;206;197,852,8.18129441137
7,C,1,2016-10-18,165.67000000000002,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;3;4;4;3;1;1;1;2,"[ 14.57765668  15.12702079  15.          12.97608503   3.84987425
  11.60115053  11.33004926  12.11305518  12.66968326  12.16494845
  10.79136691   6.96661829]",107;131;135;293;199;121;23;180;84;118;15;144,1550,9.35594857246
8,B,3,2016-10-18,54.75,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,2;1;4;4;1,[  8.23653643  12.31422505  11.4474929    3.41246291   9.05747126],78;58;121;23;197,477,8.71232876712
9,B,1,2016-10-18,57.82,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,2;1;4;4;3;1;1;1;2,"[ 18.30985915  16.38418079  17.26105563  17.03703704  17.07779886
  15.90909091  14.01425178  12.           9.10240202]",78;58;121;23;180;84;118;15;144,821,14.1992390176
10,A,3,2016-10-18,25.9,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1;3;1,"[ 33.33333333  33.33333333  33.33333333  33.33333333  33.33333333
  33.38954469  33.38735818  33.38983051]",109;59;34;40;9;198;206;197,852,32.8957528958
11,A,2,2016-10-18,60.44,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,"[ 10.83499006  10.82568807  10.82802548   5.83090379   5.76923077
   3.94889663]",109;59;34;40;6;136,384,6.35340833885
12,C,1,2016-10-18,125.03,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;4;4;3;1;1;1;2,"[  9.52804987  15.80619539  15.47314578  15.54054054  14.9750416
  14.35897436  13.73690338   8.57142857   4.4957852 ]",107;199;121;23;180;84;118;15;144,991,7.92609773654
13,A,2,2016-10-18,42.22,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,[  9.74084004   9.7359736   10.55900621  12.01201201  12.           7.89779326],109;59;34;40;6;136,384,9.09521553766
14,A,2,2016-10-18,40.2,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,"[ 11.19096509  12.52653928  11.03896104   9.3676815    7.40740741
   7.90697674]",109;59;34;40;6;136,384,9.55223880597
15,B,1,2016-10-18,48.68,19,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,2;1;4;4;3;1;1;1;2,"[ 19.9488491   20.64056939  21.68458781  21.9047619   24.12868633
  24.34782609  20.20547945  18.98734177   8.14479638]",78;58;121;23;180;84;118;15;144,821,16.8652423993
