intersection_id,tollgate_id,vehicle_id,starting_time,travel_seq,travel_time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,travel_lane,travel_velocity,travel_length,total_length,total_velocity
B,1,1086390,2016-07-19 00:37:15,105#2016-07-19 00:37:15#5.26;100#2016-07-19 00:37:20#2.85;111#2016-07-19 00:37:23#5.94;103#2016-07-19 00:37:29#1.13;116#2016-07-19 00:37:30#10.07;101#2016-07-19 00:37:40#5.27;121#2016-07-19 00:37:46#25.51;106#2016-07-19 00:38:11#3.42;113#2016-07-19 00:38:15#19.76,79.76,1000.9000,1005.8000,219.0000,3.3000,27.5000,81.0000,0.0000,2;1;4;4;3;1;1;1;2,14.8288973384;20.350877193;20.3703703704;20.3539823009;17.8748758689;15.9392789374;4.6256370051;4.38596491228;7.28744939271,78;58;121;23;180;84;118;15;144,821,10.2933801404
B,1,1065807,2016-07-19 00:56:21,105#2016-07-19 00:56:21#16.08;100#2016-07-19 00:56:37#12.34;111#2016-07-19 00:56:49#25.75;103#2016-07-19 00:57:15#4.89;116#2016-07-19 00:57:21#38.30;101#2016-07-19 00:57:59#17.87;121#2016-07-19 00:58:17#15.00;106#2016-07-19 00:58:32#0.62;113#2016-07-19 00:58:33#5.98,137.98,1000.9000,1005.8000,219.0000,3.3000,27.5000,81.0000,0.0000,2;1;4;4;3;1;1;1;2,4.85074626866;4.70016207455;4.69902912621;4.70347648262;4.69973890339;4.7006155568;7.86666666667;24.1935483871;24.0802675585,78;58;121;23;180;84;118;15;144,821,5.95013770112
B,1,1014648,2016-07-19 01:26:03,105#2016-07-19 01:26:03#16.85;100#2016-07-19 01:26:20#9.35;111#2016-07-19 01:26:30#19.52;103#2016-07-19 01:26:49#18.43;116#2016-07-19 01:27:12#37.11;101#2016-07-19 01:27:49#14.89;121#2016-07-19 01:28:04#21.81;106#2016-07-19 01:28:26#3.20;113#2016-07-19 01:28:29#30.70,176.7,1000.9000,1005.8000,219.0000,3.3000,27.5000,81.0000,0.0000,2;1;4;4;3;1;1;1;2,4.62908011869;6.20320855615;6.1987704918;1.24796527401;4.85044462409;5.64137004701;5.41036221917;4.6875;4.69055374593,78;58;121;23;180;84;118;15;144,821,4.64629315224
B,1,1005253,2016-07-19 04:29:03,105#2016-07-19 04:29:03#9.73;100#2016-07-19 04:29:12#7.23;111#2016-07-19 04:29:20#11.95;103#2016-07-19 04:29:31#1.93;116#2016-07-19 04:29:34#15.11;101#2016-07-19 04:29:49#7.04;121#2016-07-19 04:29:56#12.07;106#2016-07-19 04:30:08#1.53;113#2016-07-19 04:30:10#27.06,94.06,1000.5000,1005.3000,212.0000,3.8000,31.7000,65.0000,0.0000,2;1;4;4;3;1;1;1;2,8.01644398767;8.02213001383;10.1255230126;11.9170984456;11.9126406353;11.9318181818;9.77630488815;9.80392156863;5.32150776053,78;58;121;23;180;84;118;15;144,821,8.7284711886
B,1,1064403,2016-07-19 05:27:20,105#2016-07-19 05:27:20#7.94;100#2016-07-19 05:27:27#4.06;111#2016-07-19 05:27:32#8.50;103#2016-07-19 05:27:40#1.90;116#2016-07-19 05:27:42#11.02;101#2016-07-19 05:27:53#4.39;121#2016-07-19 05:27:58#6.70;106#2016-07-19 05:28:04#1.14;113#2016-07-19 05:28:06#20.98,66.98,1000.5000,1005.3000,212.0000,3.8000,31.7000,65.0000,0.0000,2;1;4;4;3;1;1;1;2,9.82367758186;14.2857142857;14.2352941176;12.1052631579;16.333938294;19.1343963554;17.6119402985;13.1578947368;6.86367969495,78;58;121;23;180;84;118;15;144,821,12.2573902658
B,1,1009802,2016-07-19 05:55:22,105#2016-07-19 05:55:22#4.09;100#2016-07-19 05:55:26#4.87;111#2016-07-19 05:55:31#19.75;103#2016-07-19 05:55:51#5.02;116#2016-07-19 05:55:57#12.59;101#2016-07-19 05:56:09#4.54;121#2016-07-19 05:56:14#6.95;106#2016-07-19 05:56:21#1.34;113#2016-07-19 05:56:22#27.83,87.83,1000.5000,1005.3000,212.0000,3.8000,31.7000,65.0000,0.0000,2;1;4;4;3;1;1;1;2,19.0709046455;11.909650924;6.12658227848;4.58167330677;14.2970611597;18.5022026432;16.9784172662;11.1940298507;5.17427236795,78;58;121;23;180;84;118;15;144,821,9.3476033246
B,1,1000813,2016-07-19 06:12:59,105#2016-07-19 06:12:59#14.46;100#2016-07-19 06:13:13#7.08;111#2016-07-19 06:13:20#14.77;103#2016-07-19 06:13:35#2.81;116#2016-07-19 06:13:39#21.72;101#2016-07-19 06:14:00#9.92;121#2016-07-19 06:14:10#13.94;106#2016-07-19 06:14:24#4.96;113#2016-07-19 06:14:29#80.09,170.09,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,2;1;4;4;3;1;1;1;2,5.39419087137;8.19209039548;8.192281652;8.18505338078;8.28729281768;8.46774193548;8.46484935438;3.02419354839;1.79797727556,78;58;121;23;180;84;118;15;144,821,4.82685637016
B,1,1053711,2016-07-19 07:03:25,105#2016-07-19 07:03:25#8.71;100#2016-07-19 07:03:33#4.58;111#2016-07-19 07:03:38#9.42;103#2016-07-19 07:03:47#1.79;116#2016-07-19 07:03:49#14.01;101#2016-07-19 07:04:03#6.54;121#2016-07-19 07:04:10#9.18;106#2016-07-19 07:04:19#1.17;113#2016-07-19 07:04:20#10.41,65.41,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,2;1;4;4;3;1;1;1;2,8.9552238806;12.6637554585;12.8450106157;12.8491620112;12.8479657388;12.8440366972;12.8540305011;12.8205128205;13.8328530259,78;58;121;23;180;84;118;15;144,821,12.551597615
B,1,1053056,2016-07-19 08:28:22,105#2016-07-19 08:28:22#13.76;100#2016-07-19 08:28:36#10.23;111#2016-07-19 08:28:46#21.35;103#2016-07-19 08:29:08#4.06;116#2016-07-19 08:29:13#31.76;101#2016-07-19 08:29:44#14.82;121#2016-07-19 08:29:59#19.86;106#2016-07-19 08:30:19#1.12;113#2016-07-19 08:30:20#10.75,128.75,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,2;1;4;4;3;1;1;1;2,5.66860465116;5.66959921799;5.66744730679;5.66502463054;5.66750629723;5.66801619433;5.94159113797;13.3928571429;13.3953488372,78;58;121;23;180;84;118;15;144,821,6.37669902913
B,1,1063755,2016-07-19 08:45:54,105#2016-07-19 08:45:54#4.87;100#2016-07-19 08:45:59#3.51;111#2016-07-19 08:46:02#7.32;103#2016-07-19 08:46:10#1.39;116#2016-07-19 08:46:11#10.89;101#2016-07-19 08:46:22#5.08;121#2016-07-19 08:46:27#7.71;106#2016-07-19 08:46:35#1.25;113#2016-07-19 08:46:36#17.25,59.25,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,2;1;4;4;3;1;1;1;2,16.0164271047;16.5242165242;16.5300546448;16.5467625899;16.5289256198;16.5354330709;15.3047989624;12.0;8.34782608696,78;58;121;23;180;84;118;15;144,821,13.8565400844
B,1,1079086,2016-07-19 08:49:56,105#2016-07-19 08:49:56#9.41;100#2016-07-19 08:50:05#4.80;111#2016-07-19 08:50:10#8.69;103#2016-07-19 08:50:19#1.63;116#2016-07-19 08:50:21#11.45;101#2016-07-19 08:50:32#5.81;121#2016-07-19 08:50:38#10.14;106#2016-07-19 08:50:48#1.92;113#2016-07-19 08:50:50#19.48,73.48,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,2;1;4;4;3;1;1;1;2,8.28905419766;12.0833333333;13.9240506329;14.1104294479;15.7205240175;14.4578313253;11.6370808679;7.8125;7.39219712526,78;58;121;23;180;84;118;15;144,821,11.1731083288
B,1,1086451,2016-07-19 08:58:19,105#2016-07-19 08:58:19#7.15;100#2016-07-19 08:58:27#6.31;111#2016-07-19 08:58:33#10.66;103#2016-07-19 08:58:43#1.81;116#2016-07-19 08:58:46#16.06;101#2016-07-19 08:59:02#8.29;121#2016-07-19 08:59:10#12.12;106#2016-07-19 08:59:22#1.79;113#2016-07-19 08:59:24#17.95,82.95,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,2;1;4;4;3;1;1;1;2,10.9090909091;9.19175911252;11.3508442777;12.7071823204;11.2079701121;10.1326899879;9.73597359736;8.37988826816;8.02228412256,78;58;121;23;180;84;118;15;144,821,9.89752863171
B,1,1078630,2016-07-19 09:01:48,105#2016-07-19 09:01:48#10.24;100#2016-07-19 09:01:58#7.73;111#2016-07-19 09:02:05#51.17;103#2016-07-19 09:02:57#2.37;116#2016-07-19 09:02:59#11.85;101#2016-07-19 09:03:11#7.18;121#2016-07-19 09:03:19#13.57;106#2016-07-19 09:03:32#12.72;113#2016-07-19 09:03:45#47.90,164.9,998.7000,1003.5000,218.0000,2.0000,31.5000,69.0000,0.0000,2;1;4;4;3;1;1;1;2,7.6171875;7.50323415265;2.36466679695;9.70464135021;15.1898734177;11.6991643454;8.69565217391;1.17924528302;3.00626304802,78;58;121;23;180;84;118;15;144,821,4.97877501516
