intersection_id,tollgate_id,vehicle_id,starting_time,travel_seq,travel_time,time_window,week,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,travel_lane,travel_velocity,travel_length,total_length,total_velocity
C,3,1072812,2016-07-19 00:56:31,115#2016-07-19 00:56:31#10.97;102#2016-07-19 00:56:42#13.42;109#2016-07-19 00:56:56#8.35;104#2016-07-19 00:57:04#18.12;112#2016-07-19 00:57:22#18.58;111#2016-07-19 00:57:41#12.92;103#2016-07-19 00:57:53#2.30;122#2016-07-19 00:57:58#26.54,113.53999999999999,2,1,1000.9000,1005.8000,219.0000,3.3000,27.5000,81.0000,0.0000,3;3;3;3;3;4;4;1,9.75387420237;9.76154992548;16.1676646707;16.1699779249;10.7104413348;9.3653250774;10.0;7.42275810098,107;131;135;293;199;121;23;197,1206,10.6218072926
C,3,1085261,2016-07-19 06:25:39,115#2016-07-19 06:25:39#8.34;102#2016-07-19 06:25:48#10.11;109#2016-07-19 06:25:58#9.90;104#2016-07-19 06:26:08#22.04;112#2016-07-19 06:26:30#18.81;111#2016-07-19 06:26:49#14.52;103#2016-07-19 06:27:03#3.38;122#2016-07-19 06:27:09#71.74,161.74,19,1,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,3;3;3;3;3;4;4;1,12.829736211;12.9574678536;13.6363636364;13.2940108893;10.5794790005;8.33333333333;6.80473372781;2.74602732088,107;131;135;293;199;121;23;197,1206,7.45641152467
C,3,1070950,2016-07-19 06:59:37,115#2016-07-19 06:59:37#8.67;102#2016-07-19 06:59:45#8.08;109#2016-07-19 06:59:53#7.49;104#2016-07-19 07:00:01#16.44;112#2016-07-19 07:00:17#15.97;111#2016-07-19 07:00:33#141.36;103#2016-07-19 07:02:55#0.98;122#2016-07-19 07:02:56#24.81,223.81,20,1,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,3;3;3;3;3;4;4;1,12.3414071511;16.2128712871;18.0240320427;17.8223844282;12.4608641202;0.85597057159;23.4693877551;7.94034663442,107;131;135;293;199;121;23;197,1206,5.38849917341
C,3,1002743,2016-07-19 07:17:35,115#2016-07-19 07:17:35#4.75;102#2016-07-19 07:17:40#5.81;109#2016-07-19 07:17:46#5.99;104#2016-07-19 07:17:52#12.99;112#2016-07-19 07:18:05#8.82;111#2016-07-19 07:18:14#85.33;103#2016-07-19 07:19:39#1.16;122#2016-07-19 07:19:41#9.92,135.92,21,1,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,3;3;3;3;3;4;4;1,22.5263157895;22.5473321859;22.5375626043;22.5558121632;22.5623582766;1.41802414157;19.8275862069;19.8588709677,107;131;135;293;199;121;23;197,1206,8.872866392
C,3,1056630,2016-07-19 07:39:35,115#2016-07-19 07:39:35#7.30;102#2016-07-19 07:39:42#7.70;109#2016-07-19 07:39:50#9.32;104#2016-07-19 07:39:59#26.23;112#2016-07-19 07:40:25#57.27;111#2016-07-19 07:41:22#94.40;103#2016-07-19 07:42:57#2.63;122#2016-07-19 07:43:01#30.12,236.12,22,1,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,3;3;3;3;3;4;4;1,14.6575342466;17.012987013;14.4849785408;11.1704155547;3.47476863978;1.28177966102;8.74524714829;6.54050464807,107;131;135;293;199;121;23;197,1206,5.1075724208
C,3,1057669,2016-07-19 08:12:27,115#2016-07-19 08:12:27#6.14;102#2016-07-19 08:12:33#7.52;109#2016-07-19 08:12:41#13.99;104#2016-07-19 08:12:55#32.32;112#2016-07-19 08:13:27#21.95;111#2016-07-19 08:13:49#13.35;103#2016-07-19 08:14:02#2.54;122#2016-07-19 08:14:06#21.73,120.73,24,1,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,3;3;3;3;3;4;4;1,17.4267100977;17.420212766;9.6497498213;9.06559405941;9.06605922551;9.06367041199;9.05511811024;9.06580763921,107;131;135;293;199;121;23;197,1206,9.98923217096
C,3,1065647,2016-07-19 08:26:57,115#2016-07-19 08:26:57#9.62;102#2016-07-19 08:27:07#10.85;109#2016-07-19 08:27:18#10.79;104#2016-07-19 08:27:28#23.42;112#2016-07-19 08:27:52#16.34;111#2016-07-19 08:28:08#33.33;103#2016-07-19 08:28:42#6.85;122#2016-07-19 08:28:50#30.37,143.37,25,1,999.7000,1004.5000,239.0000,1.9000,31.8000,64.0000,0.0000,3;3;3;3;3;4;4;1,11.1226611227;12.0737327189;12.5115848007;12.5106746371;12.1787025704;3.6303630363;3.35766423358;6.48666447152,107;131;135;293;199;121;23;197,1206,8.41180163214
C,3,1062375,2016-07-19 09:44:44,115#2016-07-19 09:44:44#8.33;102#2016-07-19 09:44:53#7.99;109#2016-07-19 09:45:01#7.68;104#2016-07-19 09:45:08#21.03;112#2016-07-19 09:45:29#14.09;111#2016-07-19 09:45:44#51.66;103#2016-07-19 09:46:35#1.99;122#2016-07-19 09:46:38#25.70,139.7,29,1,998.7000,1003.5000,218.0000,2.0000,31.5000,69.0000,0.0000,3;3;3;3;3;4;4;1,12.8451380552;16.395494368;17.578125;13.9324774132;14.1234918382;2.34223770809;11.5577889447;7.66536964981,107;131;135;293;199;121;23;197,1206,8.6327845383
C,3,1058031,2016-07-19 10:08:28,115#2016-07-19 10:08:28#7.65;102#2016-07-19 10:08:35#8.40;109#2016-07-19 10:08:44#7.48;104#2016-07-19 10:08:51#17.61;112#2016-07-19 10:09:09#14.86;111#2016-07-19 10:09:24#33.26;103#2016-07-19 10:09:57#8.35;122#2016-07-19 10:10:11#36.70,139.7,30,1,998.7000,1003.5000,218.0000,2.0000,31.5000,69.0000,0.0000,3;3;3;3;3;4;4;1,13.9869281046;15.5952380952;18.0481283422;16.6382737081;13.3916554509;3.63800360794;2.75449101796;5.36784741144,107;131;135;293;199;121;23;197,1206,8.6327845383
C,3,1055961,2016-07-19 10:26:34,115#2016-07-19 10:26:34#9.42;102#2016-07-19 10:26:43#9.67;109#2016-07-19 10:26:53#9.91;104#2016-07-19 10:27:03#25.83;112#2016-07-19 10:27:29#16.61;111#2016-07-19 10:27:45#11.37;103#2016-07-19 10:27:57#2.92;122#2016-07-19 10:28:02#26.25,114.25,31,1,998.7000,1003.5000,218.0000,2.0000,31.5000,69.0000,0.0000,3;3;3;3;3;4;4;1,11.3588110403;13.5470527404;13.6226034309;11.3433991483;11.9807344973;10.6420404573;7.87671232877;7.50476190476,107;131;135;293;199;121;23;197,1206,10.5557986871
C,3,1078639,2016-07-19 12:45:30,115#2016-07-19 12:45:30#9.65;102#2016-07-19 12:45:40#11.65;109#2016-07-19 12:45:52#9.98;104#2016-07-19 12:46:02#24.75;112#2016-07-19 12:46:27#20.89;111#2016-07-19 12:46:47#98.99;103#2016-07-19 12:48:26#3.70;122#2016-07-19 12:48:32#43.10,225.1,38,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,11.0880829016;11.2446351931;13.5270541082;11.8383838384;9.52608903782;1.22234569148;6.21621621622;4.57076566125,107;131;135;293;199;121;23;197,1206,5.35761883607
C,3,1056883,2016-07-19 13:33:35,115#2016-07-19 13:33:35#8.09;102#2016-07-19 13:33:43#10.66;109#2016-07-19 13:33:54#9.40;104#2016-07-19 13:34:03#31.07;112#2016-07-19 13:34:34#18.08;111#2016-07-19 13:34:52#73.26;103#2016-07-19 13:36:05#2.10;122#2016-07-19 13:36:09#26.09,180.09,40,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,13.2262051916;12.2889305816;14.3617021277;9.43031863534;11.0066371681;1.65165165165;10.9523809524;7.55078574166,107;131;135;293;199;121;23;197,1206,6.69665167416
C,3,1065488,2016-07-19 14:14:42,115#2016-07-19 14:14:42#12.68;102#2016-07-19 14:14:55#10.14;109#2016-07-19 14:15:05#10.30;104#2016-07-19 14:15:15#23.98;112#2016-07-19 14:15:39#18.12;111#2016-07-19 14:15:58#81.61;103#2016-07-19 14:17:19#1.96;122#2016-07-19 14:17:22#21.65,181.65,42,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,8.43848580442;12.9191321499;13.1067961165;12.2185154295;10.9823399558;1.48266143855;11.7346938776;9.09930715935,107;131;135;293;199;121;23;197,1206,6.63914120562
C,3,1006940,2016-07-19 14:19:00,115#2016-07-19 14:19:00#9.99;102#2016-07-19 14:19:10#12.24;109#2016-07-19 14:19:22#12.61;104#2016-07-19 14:19:34#27.37;112#2016-07-19 14:20:02#18.59;111#2016-07-19 14:20:20#70.70;103#2016-07-19 14:21:31#1.64;122#2016-07-19 14:21:34#14.02,168.02,42,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,10.7107107107;10.7026143791;10.7057890563;10.7051516259;10.7046799354;1.71145685997;14.0243902439;14.0513552068,107;131;135;293;199;121;23;197,1206,7.17771693846
C,3,1064973,2016-07-19 14:24:14,115#2016-07-19 14:24:14#6.56;102#2016-07-19 14:24:21#7.88;109#2016-07-19 14:24:29#9.49;104#2016-07-19 14:24:38#22.79;112#2016-07-19 14:25:01#15.16;111#2016-07-19 14:25:16#41.77;103#2016-07-19 14:25:58#8.95;122#2016-07-19 14:26:08#22.62,136.62,43,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,16.3109756098;16.6243654822;14.2255005269;12.8565160158;13.1266490765;2.89681589658;2.56983240223;8.70910698497,107;131;135;293;199;121;23;197,1206,8.82740447958
C,3,1056925,2016-07-19 14:37:17,115#2016-07-19 14:37:17#8.81;102#2016-07-19 14:37:26#8.61;109#2016-07-19 14:37:34#9.34;104#2016-07-19 14:37:44#23.18;112#2016-07-19 14:38:07#62.39;111#2016-07-19 14:39:09#91.61;103#2016-07-19 14:40:41#8.98;122#2016-07-19 14:40:56#41.69,260.69,43,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,12.1452894438;15.2148664344;14.4539614561;12.6402070751;3.18961372015;1.32081650475;2.56124721604;4.72535380187,107;131;135;293;199;121;23;197,1206,4.6261843569
C,3,1064407,2016-07-19 14:37:22,115#2016-07-19 14:37:22#9.28;102#2016-07-19 14:37:31#9.36;109#2016-07-19 14:37:41#8.17;104#2016-07-19 14:37:49#24.31;112#2016-07-19 14:38:13#53.20;111#2016-07-19 14:39:06#114.62;103#2016-07-19 14:41:01#10.14;122#2016-07-19 14:41:12#31.10,261.1,43,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,11.5301724138;13.9957264957;16.5238678091;12.0526532291;3.74060150376;1.0556621881;2.26824457594;6.33440514469,107;131;135;293;199;121;23;197,1206,4.61891995404
C,3,1053925,2016-07-19 14:37:30,115#2016-07-19 14:37:30#12.99;102#2016-07-19 14:37:43#15.90;109#2016-07-19 14:37:59#16.38;104#2016-07-19 14:38:15#35.56;112#2016-07-19 14:38:51#24.15;111#2016-07-19 14:39:15#20.35;103#2016-07-19 14:39:35#4.25;122#2016-07-19 14:39:42#36.43,168.43,43,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,8.23710546574;8.23899371069;8.24175824176;8.23959505062;8.24016563147;5.94594594595;5.41176470588;5.40763107329,107;131;135;293;199;121;23;197,1206,7.160244612
C,3,1086209,2016-07-19 14:37:33,115#2016-07-19 14:37:33#7.60;102#2016-07-19 14:37:41#7.59;109#2016-07-19 14:37:48#9.00;104#2016-07-19 14:37:57#24.07;112#2016-07-19 14:38:21#41.59;111#2016-07-19 14:39:03#31.83;103#2016-07-19 14:39:35#1.31;122#2016-07-19 14:39:37#24.44,148.44,43,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,14.0789473684;17.2595520422;15.0;12.172829248;4.78480403943;3.80144517751;17.5572519084;8.06055646481,107;131;135;293;199;121;23;197,1206,8.12449474535
C,3,1079085,2016-07-19 14:37:44,115#2016-07-19 14:37:44#8.79;102#2016-07-19 14:37:53#10.76;109#2016-07-19 14:38:04#11.09;104#2016-07-19 14:38:15#24.06;112#2016-07-19 14:38:39#24.45;111#2016-07-19 14:39:03#88.47;103#2016-07-19 14:40:32#0.60;122#2016-07-19 14:40:33#5.15,174.15,43,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,12.172923777;12.1747211896;12.173128945;12.1778886118;8.1390593047;1.36769526393;38.3333333333;38.2524271845,107;131;135;293;199;121;23;197,1206,6.92506459948
C,3,1078313,2016-07-19 14:42:32,115#2016-07-19 14:42:32#8.77;102#2016-07-19 14:42:41#8.09;109#2016-07-19 14:42:49#7.43;104#2016-07-19 14:42:56#22.88;112#2016-07-19 14:43:19#57.13;111#2016-07-19 14:44:16#78.27;103#2016-07-19 14:45:35#6.47;122#2016-07-19 14:45:42#32.44,222.44,44,1,1000.2000,1005.0000,215.0000,0.7000,30.0000,77.0000,0.0000,3;3;3;3;3;4;4;1,12.2006841505;16.1928306551;18.1695827725;12.8059440559;3.48328373884;1.54593075252;3.55486862442;6.07274969174,107;131;135;293;199;121;23;197,1206,5.42168674699
C,3,1015943,2016-07-19 15:02:54,115#2016-07-19 15:02:54#10.54;102#2016-07-19 15:03:04#9.63;109#2016-07-19 15:03:14#9.01;104#2016-07-19 15:03:23#20.18;112#2016-07-19 15:03:43#17.18;111#2016-07-19 15:04:00#57.73;103#2016-07-19 15:04:58#1.81;122#2016-07-19 15:05:01#29.10,156.1,45,1,1001.0000,1005.8000,202.0000,1.5000,29.0000,80.0000,0.0000,3;3;3;3;3;4;4;1,10.1518026565;13.6033229491;14.9833518313;14.5193260654;11.5832363213;2.09596397021;12.7071823204;6.76975945017,107;131;135;293;199;121;23;197,1206,7.72581678411
C,3,1055853,2016-07-19 15:23:14,115#2016-07-19 15:23:14#9.45;102#2016-07-19 15:23:23#9.18;109#2016-07-19 15:23:32#10.07;104#2016-07-19 15:23:42#30.22;112#2016-07-19 15:24:13#50.04;111#2016-07-19 15:25:03#17.40;103#2016-07-19 15:25:20#78.40;122#2016-07-19 15:26:40#24.48,230.48,46,1,1001.0000,1005.8000,202.0000,1.5000,29.0000,80.0000,0.0000,3;3;3;3;3;4;4;1,11.3227513228;14.2701525054;13.4061569017;9.69556585043;3.97681854516;6.95402298851;0.293367346939;8.04738562092,107;131;135;293;199;121;23;197,1206,5.23255813953
C,3,1079962,2016-07-19 15:25:50,115#2016-07-19 15:25:50#10.87;102#2016-07-19 15:26:01#11.26;109#2016-07-19 15:26:13#10.84;104#2016-07-19 15:26:23#26.59;112#2016-07-19 15:26:50#55.95;111#2016-07-19 15:27:46#71.38;103#2016-07-19 15:28:57#2.07;122#2016-07-19 15:29:01#27.72,218.72,46,1,1001.0000,1005.8000,202.0000,1.5000,29.0000,80.0000,0.0000,3;3;3;3;3;4;4;1,9.84360625575;11.6341030195;12.4538745387;11.0191801429;3.55674709562;1.69515270384;11.1111111111;7.10678210678,107;131;135;293;199;121;23;197,1206,5.51389904901
C,3,1051524,2016-07-19 15:27:58,115#2016-07-19 15:27:58#9.46;102#2016-07-19 15:28:08#8.87;109#2016-07-19 15:28:17#7.37;104#2016-07-19 15:28:24#22.43;112#2016-07-19 15:28:47#19.80;111#2016-07-19 15:29:06#12.45;103#2016-07-19 15:29:19#7.14;122#2016-07-19 15:29:27#18.32,107.32,46,1,1001.0000,1005.8000,202.0000,1.5000,29.0000,80.0000,0.0000,3;3;3;3;3;4;4;1,11.310782241;14.7688838782;18.3175033921;13.0628622381;10.0505050505;9.71887550201;3.22128851541;10.7532751092,107;131;135;293;199;121;23;197,1206,11.2374207976
C,3,1078633,2016-07-19 16:04:58,115#2016-07-19 16:04:58#9.80;102#2016-07-19 16:05:07#12.07;109#2016-07-19 16:05:19#12.15;104#2016-07-19 16:05:32#28.34;112#2016-07-19 16:06:00#18.47;111#2016-07-19 16:06:18#87.16;103#2016-07-19 16:07:46#3.86;122#2016-07-19 16:07:51#23.52,196.52,48,1,1001.0000,1005.8000,202.0000,1.5000,29.0000,80.0000,0.0000,3;3;3;3;3;4;4;1,10.9183673469;10.8533554267;11.1111111111;10.338743825;10.7742284786;1.38825149151;5.9585492228;8.37585034014,107;131;135;293;199;121;23;197,1206,6.1367799715
