intersection_id,tollgate_id,vehicle_id,starting_time,travel_seq,travel_time,time_window,week,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,travel_lane,travel_velocity,travel_length,total_length,total_velocity
A,2,1026631,2016-10-18 06:00:14,110#2016-10-18 06:00:14#7.65;123#2016-10-18 06:00:22#4.14;107#2016-10-18 06:00:26#2.39;108#2016-10-18 06:00:29#2.81;120#2016-10-18 06:00:31#0.42;117#2016-10-18 06:00:32#9.54,27.54,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,14.2483660131;14.2512077295;14.2259414226;14.2348754448;14.2857142857;14.2557651992,109;59;34;40;6;136,384,13.9433551198
C,3,1017312,2016-10-18 06:00:28,115#2016-10-18 06:00:28#9.35;102#2016-10-18 06:00:38#13.54;109#2016-10-18 06:00:51#4.35;104#2016-10-18 06:00:55#24.96;112#2016-10-18 06:01:20#22.73;111#2016-10-18 06:01:43#16.16;103#2016-10-18 06:01:59#18.43;122#2016-10-18 06:02:20#27.53,139.53,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;3;4;4;1,11.4438502674;9.67503692762;31.0344827586;11.7387820513;8.75494940607;7.48762376238;1.24796527401;7.15583000363,107;131;135;293;199;121;23;197,1206,8.64330251559
A,2,1044671,2016-10-18 06:03:07,110#2016-10-18 06:03:07#7.22;123#2016-10-18 06:03:14#3.91;107#2016-10-18 06:03:18#2.25;108#2016-10-18 06:03:21#2.65;120#2016-10-18 06:03:23#0.40;117#2016-10-18 06:03:24#9.01,26.009999999999998,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,15.0969529086;15.0895140665;15.1111111111;15.0943396226;15.0;15.0943396226,109;59;34;40;6;136,384,14.7635524798
A,3,1000017,2016-10-18 06:04:37,110#2016-10-18 06:04:37#7.39;123#2016-10-18 06:04:44#4.00;107#2016-10-18 06:04:48#2.31;108#2016-10-18 06:04:51#2.71;119#2016-10-18 06:04:53#0.61;114#2016-10-18 06:04:54#14.31;118#2016-10-18 06:05:08#20.01;122#2016-10-18 06:05:28#27.40,78.4,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1;3;1,14.749661705;14.75;14.7186147186;14.7601476015;14.7540983607;13.8364779874;10.2948525737;7.1897810219,109;59;34;40;9;198;206;197,852,10.8673469388
A,2,1002850,2016-10-18 06:10:17,110#2016-10-18 06:10:17#14.33;123#2016-10-18 06:10:31#5.84;107#2016-10-18 06:10:37#3.37;108#2016-10-18 06:10:40#3.96;120#2016-10-18 06:10:44#0.59;117#2016-10-18 06:10:45#43.00,71,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,7.6064200977;10.102739726;10.0890207715;10.101010101;10.1694915254;3.16279069767,109;59;34;40;6;136,384,5.40845070423
A,2,1019077,2016-10-18 06:14:19,110#2016-10-18 06:14:19#5.46;123#2016-10-18 06:14:24#3.16;107#2016-10-18 06:14:28#1.82;108#2016-10-18 06:14:29#2.14;120#2016-10-18 06:14:32#0.32;117#2016-10-18 06:14:32#7.27,20.27,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1,19.9633699634;18.6708860759;18.6813186813;18.691588785;18.75;18.7070151307,109;59;34;40;6;136,384,18.94425259
A,3,1049060,2016-10-18 06:14:31,110#2016-10-18 06:14:31#8.05;123#2016-10-18 06:14:39#4.74;107#2016-10-18 06:14:43#2.95;108#2016-10-18 06:14:46#3.47;119#2016-10-18 06:14:50#0.78;114#2016-10-18 06:14:51#16.89;118#2016-10-18 06:15:07#21.62;122#2016-10-18 06:15:29#46.14,104.14,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;1;1;3;1,13.5403726708;12.447257384;11.5254237288;11.5273775216;11.5384615385;11.7229129663;9.5282146161;4.2696142176,109;59;34;40;9;198;206;197,852,8.18129441137
C,1,1046993,2016-10-18 06:15:07,115#2016-10-18 06:15:07#7.34;102#2016-10-18 06:15:15#8.66;109#2016-10-18 06:15:24#9.00;104#2016-10-18 06:15:33#22.58;112#2016-10-18 06:15:55#51.69;111#2016-10-18 06:16:47#10.43;103#2016-10-18 06:16:57#2.03;116#2016-10-18 06:17:00#14.86;101#2016-10-18 06:17:14#6.63;121#2016-10-18 06:17:21#9.70;106#2016-10-18 06:17:31#1.39;113#2016-10-18 06:17:32#20.67,165.67000000000002,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,3;3;3;3;3;4;4;3;1;1;1;2,14.5776566757;15.1270207852;15.0;12.976085031;3.84987425034;11.6011505273;11.3300492611;12.1130551817;12.6696832579;12.1649484536;10.7913669065;6.96661828737,107;131;135;293;199;121;23;180;84;118;15;144,1550,9.35594857246
B,3,1022126,2016-10-18 06:15:29,105#2016-10-18 06:15:29#9.47;100#2016-10-18 06:15:39#4.71;111#2016-10-18 06:15:44#10.57;103#2016-10-18 06:15:54#6.74;122#2016-10-18 06:16:02#21.75,54.75,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,2;1;4;4;1,8.23653643083;12.3142250531;11.4474929044;3.41246290801;9.05747126437,78;58;121;23;197,477,8.71232876712
B,1,1015832,2016-10-18 06:15:29,105#2016-10-18 06:15:29#4.26;100#2016-10-18 06:15:33#3.54;111#2016-10-18 06:15:37#7.01;103#2016-10-18 06:15:44#1.35;116#2016-10-18 06:15:46#10.54;101#2016-10-18 06:15:56#5.28;121#2016-10-18 06:16:01#8.42;106#2016-10-18 06:16:10#1.25;113#2016-10-18 06:16:11#15.82,57.82,18,1,1012.5000,1017.5000,128.0000,1.6000,23.4000,73.0000,0.0000,2;1;4;4;3;1;1;1;2,18.3098591549;16.384180791;17.2610556348;17.037037037;17.0777988615;15.9090909091;14.0142517815;12.0;9.10240202276,78;58;121;23;180;84;118;15;144,821,14.1992390176
